Day,Entries,Exits
"Wednesday, August 2, 2023",12,19
"Saturday, July 29, 2023",44,64
"Friday, July 28, 2023",44,70
"Wednesday, July 26, 2023",9,16
"Saturday, July 22, 2023",53,68
"Friday, July 21, 2023",71,75
"Wednesday, July 19, 2023",7,9
"Saturday, July 15, 2023",63,53
"Friday, July 14, 2023",76,83
"Wednesday, July 12, 2023",8,18
"Saturday, July 8, 2023",72,54
"Friday, July 7, 2023",57,42
"Wednesday, July 5, 2023",12,19
"Saturday, July 1, 2023",45,36
"Friday, June 30, 2023",70,68
"Wednesday, June 28, 2023",15,21
"Saturday, June 24, 2023",83,160
"Friday, June 23, 2023",50,52
"Wednesday, June 21, 2023",4,10
"Saturday, June 17, 2023",74,45
"Friday, June 16, 2023",53,58
"Wednesday, June 14, 2023",7,10
"Saturday, June 10, 2023",87,94
"Friday, June 9, 2023",51,49
"Wednesday, June 7, 2023",10,16
"Saturday, June 3, 2023",70,56
"Friday, June 2, 2023",53,66
"Wednesday, May 31, 2023",3,14
"Saturday, May 27, 2023",89,42
"Friday, May 26, 2023",65,35
"Wednesday, May 24, 2023",21,41
"Saturday, May 20, 2023",45,41
"Friday, May 19, 2023",53,53
"Wednesday, May 17, 2023",26,13
"Saturday, May 13, 2023",49,44
"Friday, May 12, 2023",44,58
"Wednesday, May 10, 2023",7,24
"Saturday, May 6, 2023",57,65
"Friday, May 5, 2023",69,50
"Wednesday, May 3, 2023",4,8
"Saturday, April 29, 2023",75,67
"Friday, April 28, 2023",35,41
"Wednesday, April 26, 2023",6,8
"Saturday, April 22, 2023",31,29
"Friday, April 21, 2023",62,62
"Wednesday, April 19, 2023",11,18
"Saturday, April 15, 2023",68,65
"Friday, April 14, 2023",74,44
"Wednesday, April 12, 2023",3,8
"Saturday, April 8, 2023",33,33
"Friday, April 7, 2023",50,56
"Wednesday, April 5, 2023",7,12
"Saturday, April 1, 2023",58,48
"Friday, March 31, 2023",56,35
"Wednesday, March 29, 2023",6,8
"Saturday, March 25, 2023",72,84
"Friday, March 24, 2023",58,48
"Wednesday, March 22, 2023",10,15
"Saturday, March 18, 2023",54,43
"Friday, March 17, 2023",100,73
"Wednesday, March 15, 2023",12,12
"Saturday, March 11, 2023",57,42
"Friday, March 10, 2023",110,82
"Wednesday, March 8, 2023",13,22
"Saturday, March 4, 2023",63,56
"Friday, March 3, 2023",60,46
"Wednesday, March 1, 2023",7,13
"Saturday, February 25, 2023",50,45
"Friday, February 24, 2023",54,48
"Wednesday, February 22, 2023",3,4
"Saturday, February 18, 2023",54,39
"Friday, February 17, 2023",29,29
"Wednesday, February 15, 2023",11,11
"Saturday, February 11, 2023",57,53
"Friday, February 10, 2023",45,32
"Wednesday, February 8, 2023",12,18
"Saturday, February 4, 2023",37,29
"Friday, February 3, 2023",80,72
"Wednesday, February 1, 2023",1,4
"Saturday, January 28, 2023",58,39
"Friday, January 27, 2023",38,42
"Wednesday, January 25, 2023",13,23
"Saturday, January 21, 2023",89,85
"Friday, January 20, 2023",85,111
"Wednesday, January 18, 2023",13,25
"Saturday, January 14, 2023",46,44
"Friday, January 13, 2023",41,51
"Wednesday, January 11, 2023",4,6
"Saturday, January 7, 2023",47,28
"Friday, January 6, 2023",47,33
"Wednesday, January 4, 2023",2,7
